question,a,b,c,d,ANSWER
"Choose the correct sentence about running late.",Running late for the meeting the briefcase was left behind.,Running late for the meeting the director left the briefcase behind.,The briefcase was left behind by running late for the meeting.,Left behind was the briefcase as the meeting was running late.,B
"Choose the correct sentence about preparing presentation slides.",After preparing the presentation slides the meeting was attended by all team members.,After preparing the slides the project was discussed by the team members.,After preparing the presentation slides all team members attended the meeting and discussed the project.,The meeting was attended after preparing the slides by the team members.,C
"The Volvo sentence about abandoning electric car targets contains which type of error?",Dangling modifier,Misplaced modifier,No modifier errors,Both dangling and misplaced modifiers,C
"Choose the correct sentence about the junk food advertisement ban.",A ban being shown on TV before 9pm will come into force on 1 October 2025 the UK government confirmed on junk food advertisements.,A ban on junk food advertisements being shown on TV before 9pm will come into force on 1 October 2025 the UK government confirmed.,A ban being shown on TV before 9pm will come into force on junk food advertisements on 1 October 2025.,A ban will come into force before 9pm on junk food advertisements being shown on TV on 1 October 2025.,B
"Choose the correct sentence about Boeing workers going on strike.",More than 30000 Boeing workers have gone on strike which included a 25% pay rise after rejecting a tentative deal.,More than 30000 Boeing workers which included a 25% pay rise have gone on strike after rejecting a deal.,More than 30000 Boeing workers have gone on strike after they rejected a tentative deal which included a 25% pay rise.,More than 30000 Boeing workers rejected a deal which went on strike including a 25% pay rise.,C
"Which sentences contain faulty modifiers? I. Racing down the street the pedestrians watched the cyclist. II. Having finished the project the report was submitted. III. Born in Paris her novels capture French culture.",I and II,I and III,II and III,I II and III,C
"Which sentences contain faulty modifiers? I. Despite being exhausted Sarah finished her presentation. II. While driving Tom saw an accident. III. With great care the chef prepared dinner. IV. Joe found a rare coin under the sofa looking for his keys.",I and II,II and III,I II and IV,II III and IV,C
"Which sentences contain faulty modifiers? I. Running late Lisa hastily completed the report. II. Confused by instructions the assignment was difficult for students. III. Injured during practice the game was watched anxiously from the sidelines. IV. Excited about the opportunity Maria quickly filled out the form.",I and II,II and III,II III and IV,I II III and IV,B
"In the passage about Sarah's presentation which sentence has a modifier error?","Excited about the new project Sarah eagerly prepared her presentation.","While reviewing the draft errors were found by her team prompting last-minute revisions.","Despite the setbacks Sarah confidently delivered the presentation.","Her efforts paid off when the client expressed satisfaction.",B
"In the passage about healthy lifestyle which sentence has a modifier error?","Regular exercise essential for a healthy lifestyle should include cardiovascular training.","By incorporating a balanced diet optimal health can be achieved.","Sleeping adequately every night is crucial for allowing the body to repair.","Avoiding excessive stress which can impact mental health is also important.",B
"Which modal verb best completes: The impact of AI ___ undeniably continue to grow in the future.",may,would,will,ought to,C
"Which modal verb best completes: In the past patients ___ only depend on their doctors' interpretation of X-rays.",can,will,may,could,D
"Which modal verb best completes: This process ___ often take longer and was prone to human error.",can,will,would,should,C
"Which modal verb best completes: AI-driven technologies ___ be used to support and complement healthcare providers.",have to,had better,should,must,C
